,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2142,Mortal Kombat: Deadly Alliance,XB,2002,Fighting,Midway Games,0.77,0.15,0.0,0.04,0.9600000000000001
2143,Final Fantasy X / X-2 HD Remaster,PSV,2013,Role-Playing,Square Enix,0.21,0.31,0.28,0.16,0.9600000000000001
2144,The Witcher 2: Assassins of Kings,PC,2011,Action,Namco Bandai Games,0.25,0.56,0.0,0.15,0.9600000000000001
2145,Evolve,PS4,2015,Shooter,Take-Two Interactive,0.35,0.41,0.05,0.15,0.9600000000000001
2146,World Championship Poker,PS2,2004,Misc,Play It,0.8,0.03,0.0,0.13,0.9600000000000001
2147,ESPN NBA 2K5,XB,2004,Sports,Global Star,0.88,0.04,0.0,0.04,0.9600000000000001
2148,Sonic Unleashed,X360,2008,Platform,Sega,0.54,0.33,0.0,0.09,0.9600000000000001
2149,PlayStation All-Stars Battle Royale,PS3,2012,Action,Sony Computer Entertainment,0.5,0.28,0.04,0.14,0.9600000000000001
2150,Lost Planet 2,PS3,2010,Shooter,Capcom,0.29,0.34,0.2,0.13,0.9600000000000001
2151,NHL 2004,PS2,2003,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96
2152,Monster High: Ghoul Spirit,DS,2011,Misc,THQ,0.72,0.17,0.0,0.07,0.96
2153,Mortal Kombat Trilogy,N64,1996,Fighting,GT Interactive,0.72,0.22,0.0,0.02,0.96
2154,Dragon Quest X,Wii,2012,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96
2155,Jampack Summer '99,PS,1999,Misc,Sony Computer Entertainment,0.54,0.36,0.0,0.06,0.96
2156,Gangs of London,PSP,2006,Adventure,Sony Computer Entertainment,0.3,0.44,0.0,0.22,0.96
2157,Dark Cloud 2,PS2,2002,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96
2158,Dance Dance Revolution 2nd ReMIX,PS,1999,Simulation,Konami Digital Entertainment,0.0,0.0,0.9,0.06,0.96
2159,Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96
2160,PilotWings Resort,3DS,2011,Simulation,Nintendo,0.4,0.36,0.13,0.07,0.96
2161,The Sims 2,DS,2005,Simulation,Electronic Arts,0.82,0.07,0.0,0.07,0.96
2162,SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003,Platform,THQ,0.74,0.19,0.0,0.03,0.96
2163,Kessen,PS2,2000,Strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.96
2164,Star Soldier,NES,1986,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96
2165,NHL 2001,PS2,2000,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96
2166,LEGO Pirates of the Caribbean: The Video Game,DS,2011,Action,Disney Interactive Studios,0.37,0.49,0.0,0.1,0.96
2167,Ben 10: Alien Force,DS,2008,Action,Koch Media,0.65,0.22,0.0,0.09,0.96
2168,Wild ARMs,PS,1996,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.9500000000000002
2169,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003,Misc,Konami Digital Entertainment,0.68,0.25,0.0,0.02,0.9500000000000001
2170,Brutal Legend,PS3,2009,Action,Electronic Arts,0.54,0.28,0.0,0.13,0.9500000000000001
2171,My Weight Loss Coach,DS,2008,Sports,Ubisoft,0.3,0.54,0.0,0.11,0.9500000000000001
2172,Killzone,PS2,2004,Shooter,Sony Computer Entertainment,0.79,0.03,0.0,0.13,0.9500000000000001
2173,Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,Namco Bandai Games,0.32,0.33,0.15,0.15,0.9500000000000001
2174,Mega Man Star Force Dragon / Leo / Pegasus,DS,2006,Action,Capcom,0.39,0.0,0.53,0.03,0.9500000000000001
2175,Cars 2,Wii,2011,Racing,Disney Interactive Studios,0.46,0.39,0.0,0.1,0.9500000000000001
2176,Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,Action,Ubisoft,0.36,0.45,0.0,0.14,0.9500000000000001
2177,SingStar Abba,PS3,2008,Misc,Sony Computer Entertainment,0.27,0.51,0.0,0.17,0.9500000000000001
2178,Skylanders: Spyro's Adventure,PS3,2011,Action,Activision,0.39,0.4,0.0,0.16,0.9500000000000001
2179,Shinobi,PS2,2002,Platform,Sony Computer Entertainment,0.36,0.28,0.22,0.09,0.95
2180,NCAA Football 2000,PS,1999,Sports,Electronic Arts,0.53,0.36,0.0,0.06,0.95
2181,Star Fox 64 3D,3DS,2011,Shooter,Nintendo,0.48,0.27,0.13,0.07,0.95
2182,LEGO Jurassic World,X360,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.4,0.0,0.08,0.95
2183,Tony Hawk: RIDE,Wii,2009,Sports,Activision,0.7,0.17,0.0,0.08,0.95
2184,The SpongeBob SquarePants Movie,GC,2004,Platform,THQ,0.73,0.19,0.0,0.03,0.95
2185,Tom Clancy's Ghost Recon: Future Soldier,PS3,2012,Shooter,Ubisoft,0.41,0.33,0.09,0.12,0.95
2186,South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,0.57,0.3,0.0,0.08,0.9499999999999998
2187,Hot Shots Golf Fore!,PS2,2003,Sports,Sony Computer Entertainment,0.46,0.36,0.0,0.12,0.9400000000000001
2188,Teenage Mutant Ninja Turtles,GBA,2003,Action,Unknown,0.67,0.25,0.0,0.02,0.9400000000000001
2189,EA Sports Grand Slam Tennis,Wii,2009,Sports,Electronic Arts,0.29,0.52,0.02,0.11,0.9400000000000001
2190,Sonic Riders: Zero Gravity,Wii,2008,Racing,Sega,0.5,0.32,0.02,0.1,0.9400000000000001
2191,The Tomb Raider Trilogy,PS3,2011,Action,Square Enix,0.27,0.5,0.0,0.17,0.9400000000000001
2192,Bentley's Hackpack,GBA,2005,Misc,Unknown,0.67,0.25,0.0,0.02,0.9400000000000001
2193,Crash City Mayhem,GBA,2004,Racing,THQ,0.67,0.25,0.0,0.02,0.9400000000000001
2194,Assassin's Creed III,PC,2012,Action,Ubisoft,0.28,0.53,0.0,0.13,0.9400000000000001
2195,Bully,PS2,2006,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.9400000000000001
2196,MLB 06: The Show,PS2,2006,Sports,Sony Computer Entertainment,0.78,0.03,0.0,0.13,0.9400000000000001
2197,Castlevania: Lament of Innocence,PS2,2003,Action,Konami Digital Entertainment,0.46,0.36,0.0,0.12,0.9400000000000001
2198,Destroy All Humans!,PS2,2005,Shooter,THQ,0.78,0.03,0.0,0.13,0.9400000000000001
2199,NHL 2003,PS2,2002,Sports,Electronic Arts,0.46,0.36,0.0,0.12,0.9400000000000001
2200,Prince of Persia: The Sands of Time,XB,2003,Action,Ubisoft,0.57,0.33,0.0,0.04,0.94
2201,Lego Batman 3: Beyond Gotham,X360,2014,Action,Warner Bros. Interactive Entertainment,0.48,0.38,0.0,0.08,0.94
2202,Cars,GC,2006,Racing,THQ,0.72,0.19,0.0,0.03,0.94
2203,SaGa Frontier 2,PS,1999,Role-Playing,SquareSoft,0.1,0.07,0.71,0.06,0.94
2204,The Witcher 2: Assassins of Kings,X360,2012,Action,Namco Bandai Games,0.48,0.36,0.02,0.08,0.94
2205,NCAA Football 10,X360,2009,Sports,Electronic Arts,0.87,0.0,0.0,0.07,0.94
2206,Army of Two: The 40th Day,X360,2010,Shooter,Electronic Arts,0.62,0.24,0.0,0.08,0.94
2207,Cars,Wii,2006,Racing,THQ,0.83,0.04,0.0,0.07,0.94
2208,Guitar Hero: Metallica,Wii,2009,Misc,Activision,0.41,0.43,0.0,0.1,0.94
2209,The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.48,0.3,0.08,0.08,0.94
2210,Buzz! Quiz World,PS3,2009,Misc,Sony Computer Entertainment,0.16,0.58,0.0,0.2,0.94
2211,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,1996,Misc,GT Interactive,0.52,0.36,0.0,0.06,0.94
2212,Borderlands 2,PC,2012,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.94
2213,Rocksmith 2014,X360,2013,Misc,Ubisoft,0.69,0.17,0.0,0.08,0.94
2214,Colin McRae Rally 04,PS2,2003,Racing,Codemasters,0.01,0.71,0.01,0.21,0.94
2215,Bayonetta,X360,2009,Action,Sega,0.51,0.26,0.09,0.08,0.94
2216,Wii Play: Motion,Wii,2011,Misc,Nintendo,0.24,0.43,0.18,0.09,0.9399999999999998
2217,Mario Tennis Open,3DS,2012,Sports,Nintendo,0.26,0.29,0.33,0.05,0.9300000000000002
2218,Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft,0.44,0.34,0.0,0.15,0.93
2219,MLB 07: The Show,PS2,2007,Sports,Sony Computer Entertainment,0.77,0.03,0.0,0.13,0.93
2220,SSX,PS3,2012,Sports,Electronic Arts,0.35,0.42,0.02,0.14,0.93
2221,Phantasy Star Portable,PSP,2008,Role-Playing,Sega,0.19,0.06,0.63,0.05,0.93
2222,Skylanders: Trap Team,X360,2014,Action,Activision,0.54,0.31,0.0,0.08,0.93
2223,Inazuma Eleven 3,DS,2010,Role-Playing,Level 5,0.0,0.0,0.93,0.0,0.93
2224,Spider-Man,2600,1981,Action,Parker Bros.,0.87,0.05,0.0,0.01,0.93
2225,LEGO Jurassic World,PS3,2015,Action,Warner Bros. Interactive Entertainment,0.34,0.44,0.0,0.15,0.93
2226,Operation Flashpoint: Dragon Rising,X360,2009,Shooter,Codemasters,0.36,0.45,0.02,0.1,0.93
2227,Crysis 3,X360,2013,Shooter,Electronic Arts,0.51,0.33,0.01,0.08,0.93
2228,MVP Baseball 2005,XB,2005,Sports,Electronic Arts,0.7,0.2,0.0,0.03,0.9299999999999999
2229,Nickelodeon Fit,Wii,2010,Sports,Take-Two Interactive,0.78,0.09,0.0,0.06,0.9299999999999999
2230,Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0.0,0.9299999999999999
2231,Tony Hawk's Pro Skater 4,XB,2002,Sports,Activision,0.59,0.3,0.0,0.04,0.9299999999999999
2232,SnoCross Championship Racing,PS,1999,Racing,Ubisoft,0.52,0.35,0.0,0.06,0.9299999999999999
2233,White Knight Chronicles: International Edition,PS3,2008,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.9299999999999999
2234,Build-A-Bear Workshop,DS,2007,Simulation,Game Factory,0.85,0.01,0.0,0.07,0.9299999999999999
2235,Mega Man 4,NES,1991,Platform,Capcom,0.51,0.09,0.32,0.01,0.9299999999999999
2236,MLB 2000,PS,1999,Sports,Sony Computer Entertainment,0.52,0.35,0.0,0.06,0.9299999999999999
2237,Dante's Inferno,X360,2010,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.9200000000000002
2238,Tobal No.1,PS,1996,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.9200000000000002
2239,Disney Magical World,3DS,2013,Adventure,Nintendo,0.16,0.2,0.53,0.03,0.92
2240,FIFA Street,X360,2012,Sports,Electronic Arts,0.17,0.65,0.0,0.1,0.92
2241,MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.67,0.08,0.0,0.17,0.92
2242,Street Hoops,PS2,2002,Sports,Activision,0.45,0.35,0.0,0.12,0.92
2243,Wipeout: In The Zone,X360,2011,Misc,Activision,0.87,0.0,0.0,0.05,0.92
2244,Teenage Mutant Ninja Turtles,PS2,2003,Action,Konami Digital Entertainment,0.45,0.35,0.0,0.12,0.92
2245,Top Gun: Combat Zones,PS2,2001,Simulation,Titus,0.45,0.35,0.0,0.12,0.92
2246,Starsky & Hutch,PS2,2003,Racing,Empire Interactive,0.45,0.35,0.0,0.12,0.92
2247,Knockout Kings 2002,PS2,2002,Sports,Electronic Arts,0.45,0.35,0.0,0.12,0.92
2248,EA Sports Active 2,PS3,2010,Sports,Electronic Arts,0.52,0.28,0.0,0.12,0.92
2249,Knockout Kings 2000,N64,1999,Fighting,Electronic Arts,0.63,0.27,0.0,0.02,0.92
2250,SpongeBob SquarePants: The Yellow Avenger,PSP,2006,Action,THQ,0.55,0.21,0.0,0.16,0.92
2251,Minecraft: Story Mode,X360,2015,Adventure,Mojang,0.46,0.38,0.0,0.08,0.92
2252,Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.47,0.22,0.16,0.07,0.9199999999999999
2253,Tom Clancy's EndWar,X360,2008,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.9199999999999999
2254,Tokyo Xtreme Racer 3,PS2,2003,Racing,Genki,0.35,0.27,0.21,0.09,0.9199999999999999
2255,Space Jam,PS,1996,Sports,Acclaim Entertainment,0.51,0.35,0.0,0.06,0.9199999999999999
2256,Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,0.3,0.33,0.21,0.08,0.9199999999999999
2257,Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,0.45,0.27,0.11,0.09,0.9199999999999999
2258,WWE SmackDown vs. Raw 2009,X360,2008,Fighting,THQ,0.58,0.26,0.0,0.08,0.9199999999999999
2259,NCAA Football 11,X360,2010,Sports,Electronic Arts,0.86,0.0,0.0,0.06,0.9199999999999999
2260,Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,Platform,Activision,0.71,0.2,0.0,0.01,0.9199999999999999
2261,MLB 12: The Show,PS3,2012,Sports,Sony Computer Entertainment,0.86,0.0,0.0,0.06,0.9199999999999999
2262,007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.9199999999999999
2263,Assassin's Creed,PC,2008,Adventure,Ubisoft,0.01,0.83,0.0,0.08,0.9199999999999999
2264,Balloon Fight,NES,1985,Platform,Nintendo,0.39,0.09,0.43,0.01,0.9199999999999999
2265,Sonic Riders,GC,2006,Racing,Sega,0.71,0.18,0.0,0.03,0.9199999999999999
2266,NHL 98,PS,1997,Sports,Electronic Arts,0.51,0.35,0.0,0.06,0.9199999999999999
2267,AMF Bowling Pinbusters!,Wii,2007,Sports,Bethesda Softworks,0.85,0.0,0.0,0.07,0.9199999999999999
2268,Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,0.41,0.17,0.29,0.05,0.9199999999999999
2269,Operation Flashpoint: Dragon Rising,PS3,2009,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.9100000000000001
2270,Colin McRae Rally 2.0,PS,2000,Racing,Codemasters,0.02,0.8,0.02,0.07,0.9100000000000001
2271,Dynasty Warriors 7,PS3,2011,Action,Tecmo Koei,0.25,0.14,0.46,0.06,0.9100000000000001
2272,Avatar: The Game,PS3,2009,Action,Ubisoft,0.32,0.43,0.0,0.16,0.91
2273,Super Momotarou Dentetsu III,SNES,1994,Simulation,Hudson Soft,0.0,0.0,0.91,0.0,0.91
2274,The Evil Within,PS3,2014,Action,Bethesda Softworks,0.26,0.39,0.12,0.14,0.91
2275,Kung Fu Panda,Wii,2008,Action,Activision,0.5,0.32,0.0,0.09,0.91
2276,Homefront,PS3,2011,Shooter,THQ,0.32,0.4,0.04,0.15,0.91
2277,Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,Activision,0.68,0.15,0.0,0.08,0.91
2278,Sonic Mega Collection Plus,XB,2004,Misc,Sega,0.61,0.26,0.0,0.04,0.91
2279,Tiger Woods PGA Tour 2002,PS2,2002,Sports,Electronic Arts,0.44,0.35,0.0,0.12,0.91
2280,MLB 2005,PS2,2004,Sports,Sony Computer Entertainment,0.44,0.35,0.0,0.12,0.91
2281,Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.39,0.0,0.15,0.91
2282,Call of Duty: World at War,DS,2008,Shooter,Activision,0.57,0.26,0.0,0.08,0.9099999999999999
2283,NBA Live 2005,XB,2004,Sports,Electronic Arts,0.81,0.05,0.0,0.04,0.9000000000000001
2284,Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,0.55,0.28,0.0,0.07,0.9000000000000001
2285,Hot Shots Tennis,PS2,2006,Sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9000000000000001
2286,Destruction Derby,PS,1995,Racing,Psygnosis,0.5,0.34,0.0,0.06,0.9000000000000001
2287,3Xtreme,PS,1999,Action,989 Studios,0.5,0.34,0.0,0.06,0.9000000000000001
2288,MX vs. ATV Reflex,PS3,2009,Racing,THQ,0.52,0.26,0.0,0.12,0.9
2289,FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,0.29,0.52,0.0,0.09,0.9
2290,Spider-Man 3,PS2,2007,Platform,Activision,0.74,0.03,0.01,0.12,0.9
2291,SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,Sony Computer Entertainment,0.66,0.12,0.04,0.08,0.9
2292,Sonic Heroes,XB,2003,Platform,Sega,0.41,0.43,0.01,0.05,0.9
2293,Sonic Chronicles: The Dark Brotherhood,DS,2008,Role-Playing,Sega,0.51,0.29,0.01,0.09,0.9
2294,Burnout Revenge,PS2,2005,Racing,Electronic Arts,0.75,0.03,0.0,0.12,0.9
2295,The Simpsons Game,PS3,2007,Action,Electronic Arts,0.38,0.37,0.0,0.15,0.9
2296,Resistance: Retribution,PSP,2009,Shooter,Sony Computer Entertainment,0.27,0.36,0.05,0.22,0.9
2297,James Bond 007: Agent Under Fire,XB,2002,Shooter,Electronic Arts,0.65,0.22,0.0,0.03,0.9
2298,Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996,Racing,ASCII Entertainment,0.0,0.0,0.9,0.0,0.9
2299,LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,Activision,0.47,0.3,0.0,0.13,0.9
2300,Call of Juarez: Bound in Blood,PS3,2009,Shooter,Ubisoft,0.35,0.38,0.01,0.16,0.9
2301,Madden NFL 99,N64,1998,Sports,Electronic Arts,0.84,0.05,0.0,0.01,0.9
2302,Glover,N64,1998,Platform,Hasbro Interactive,0.72,0.17,0.0,0.01,0.9
2303,LittleBigPlanet Karting,PS3,2012,Action,Sony Computer Entertainment,0.42,0.32,0.01,0.15,0.9
2304,Samba De Amigo,Wii,2008,Misc,Sega,0.42,0.37,0.01,0.1,0.9
2305,DJ Hero,PS3,2009,Misc,Activision,0.42,0.34,0.0,0.14,0.9
2306,X-Men Legends,XB,2004,Role-Playing,Activision,0.62,0.24,0.0,0.04,0.9
2307,Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,Electronic Arts,0.52,0.26,0.0,0.12,0.9
2308,Buzz! Quiz TV,PS3,2008,Misc,Sony Computer Entertainment,0.28,0.48,0.0,0.14,0.9
2309,Crysis 3,PS3,2013,Shooter,Electronic Arts,0.26,0.43,0.03,0.18,0.8999999999999999
2310,Fossil Fighters,DS,2008,Role-Playing,Nintendo,0.84,0.0,0.0,0.06,0.8999999999999999
2311,Fire Emblem: The Sacred Stones,GBA,2004,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.8999999999999999
2312,Wii Fit U,WiiU,2013,Sports,Nintendo,0.39,0.24,0.21,0.06,0.8999999999999999
2313,We Ski & Snowboard,Wii,2008,Sports,Atari,0.38,0.29,0.15,0.08,0.8999999999999999
2314,Killzone: Liberation,PSP,2006,Shooter,Sony Computer Entertainment,0.44,0.28,0.0,0.18,0.8999999999999999
2315,Madden NFL 08,Wii,2007,Sports,Electronic Arts,0.82,0.01,0.0,0.07,0.8999999999999999
2316,MLB 2001,PS,2000,Sports,Sony Computer Entertainment,0.49,0.34,0.0,0.06,0.8900000000000001
2317,Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.8900000000000001
2318,Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,0.81,0.0,0.01,0.07,0.8900000000000001
2319,LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.8900000000000001
2320,Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.62,0.2,0.0,0.07,0.8900000000000001
2321,EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.28,0.47,0.0,0.14,0.89
2322,Madagascar,GBA,2005,Platform,Activision,0.62,0.24,0.0,0.03,0.89
2323,Call of Duty: Modern Warfare 2,PC,2009,Shooter,Activision,0.01,0.79,0.0,0.09,0.89
2324,Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,Nintendo,0.46,0.17,0.24,0.02,0.89
2325,Harry Potter: Quidditch World Cup,PS2,2003,Sports,Electronic Arts,0.44,0.34,0.0,0.11,0.89
2326,Castlevania: Circle of the Moon,GBA,2001,Platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89
2327,TouchMaster 2,DS,2008,Puzzle,Midway Games,0.3,0.49,0.0,0.1,0.89
2328,Pokemon Card GB2: Here Comes Team GR!,GB,2001,Strategy,Nintendo,0.0,0.0,0.89,0.0,0.89
2329,F1 2009,Wii,2009,Racing,Codemasters,0.15,0.63,0.0,0.11,0.89
2330,Pure,PS3,2008,Racing,Disney Interactive Studios,0.42,0.33,0.0,0.14,0.89
2331,Blitz: The League,PS2,2005,Sports,Unknown,0.74,0.03,0.0,0.12,0.89
2332,The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,0.32,0.48,0.0,0.09,0.89
2333,NFL 2K2,PS2,2001,Sports,Sega,0.44,0.34,0.0,0.11,0.89
2334,Star Wars: The Force Unleashed,DS,2008,Action,LucasArts,0.51,0.29,0.0,0.09,0.89
2335,LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.01,0.14,0.89
2336,Tiger Woods PGA Tour 06,PS2,2005,Sports,Electronic Arts,0.74,0.03,0.0,0.12,0.89
2337,CSI: Hard Evidence,Wii,2008,Adventure,Ubisoft,0.36,0.43,0.0,0.1,0.89
2338,The Jak and Daxter Collection,PS3,2012,Platform,Sony Computer Entertainment,0.6,0.19,0.0,0.1,0.89
2339,Seiken Densetsu 3,SNES,1995,Role-Playing,SquareSoft,0.0,0.0,0.89,0.0,0.89
2340,Ghostbusters: The Video Game,Wii,2009,Action,Atari,0.6,0.21,0.0,0.08,0.8899999999999999
2341,Finding Nemo,GC,2003,Action,THQ,0.69,0.18,0.0,0.02,0.8899999999999999
2342,Rock Band 3,X360,2010,Misc,MTV Games,0.73,0.1,0.0,0.06,0.8899999999999999
2343,Call of Duty: Modern Warfare 3,Wii,2011,Shooter,Activision,0.6,0.21,0.0,0.08,0.8899999999999999
2344,The Biggest Loser: Ultimate Workout,X360,2010,Sports,THQ,0.73,0.1,0.0,0.06,0.8899999999999999
2345,Mega Man 8 Anniversary Collector's Edition,PS,1996,Platform,Capcom,0.44,0.3,0.09,0.06,0.8899999999999999
2346,Gex,PS,1995,Platform,Crystal Dynamics,0.49,0.33,0.0,0.06,0.8800000000000001
2347,Star Wars: Rebel Assault II - The Hidden Empire,PS,1996,Shooter,CTO SpA,0.49,0.33,0.0,0.06,0.8800000000000001
2348,Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.55,0.25,0.01,0.07,0.8800000000000001
2349,Spec Ops: Ranger Elite,PS,2001,Shooter,TalonSoft,0.49,0.33,0.0,0.06,0.8800000000000001
2350,SingStar Anthems,PS2,2006,Misc,Sony Computer Entertainment,0.0,0.68,0.0,0.2,0.8800000000000001
2351,Tekken Tag Tournament 2,PS3,2012,Fighting,Namco Bandai Games,0.28,0.33,0.13,0.14,0.8800000000000001
2352,NBA 2K6,PS2,2005,Action,Take-Two Interactive,0.43,0.34,0.0,0.11,0.88
2353,WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ,0.44,0.36,0.0,0.08,0.88
2354,Buzz! The Mega Quiz,PS2,2007,Misc,Sony Computer Entertainment,0.32,0.06,0.0,0.5,0.88
2355,Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0.0,0.08,0.88
2356,Sleeping Dogs,X360,2012,Action,Square Enix,0.38,0.41,0.01,0.08,0.88
2357,Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,Square Enix,0.73,0.03,0.0,0.12,0.88
2358,Tom Clancy's Ghost Recon: Island Thunder,XB,2003,Shooter,Ubisoft,0.61,0.24,0.0,0.03,0.88
2359,Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,0.51,0.28,0.01,0.08,0.88
2360,Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,Square Enix,0.21,0.13,0.46,0.08,0.88
2361,F1 2010,X360,2010,Racing,Codemasters,0.18,0.59,0.01,0.1,0.88
2362,The House of the Dead: Overkill,Wii,2009,Shooter,Sega,0.46,0.31,0.02,0.09,0.88
2363,Gold's Gym: Dance Workout,Wii,2010,Sports,Ubisoft,0.71,0.11,0.0,0.06,0.8799999999999999
2364,Peppa Pig: The Game,DS,2008,Misc,Pinnacle,0.0,0.82,0.0,0.06,0.8799999999999999
2365,NCAA Football 13,PS3,2012,Action,Electronic Arts,0.82,0.0,0.0,0.06,0.8799999999999999
2366,Endless Ocean: Blue World,Wii,2009,Simulation,Nintendo,0.47,0.22,0.12,0.07,0.8799999999999999
2367,Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.2,0.15,0.45,0.07,0.8700000000000001
2368,Beijing 2008,PS3,2008,Sports,Sega,0.14,0.54,0.01,0.18,0.8700000000000001
2369,Phantasy Star Portable 2,PSP,2009,Role-Playing,Sega,0.08,0.11,0.62,0.06,0.8700000000000001
2370,Enduro,2600,1982,Misc,Quelle,0.81,0.05,0.0,0.01,0.8700000000000001
2371,Scooby-Doo! First Frights,DS,2009,Action,Warner Bros. Interactive Entertainment,0.63,0.17,0.0,0.07,0.8700000000000001
2372,Metal Gear Ac!d,PSP,2004,Strategy,Konami Digital Entertainment,0.32,0.26,0.12,0.17,0.8700000000000001
2373,Warriors Orochi,PS2,2007,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.8700000000000001
2374,NHL 2000,PS,1998,Sports,Electronic Arts,0.48,0.33,0.0,0.06,0.8700000000000001
2375,Crimson Skies: High Road to Revenge,XB,2003,Simulation,Microsoft Game Studios,0.65,0.19,0.0,0.03,0.8700000000000001
2376,Ford Racing,PS,2001,Racing,Empire Interactive,0.48,0.33,0.0,0.06,0.8700000000000001
2377,NFL GameDay '97,PS,1996,Sports,Sony Computer Entertainment,0.48,0.33,0.0,0.06,0.8700000000000001
2378,Just Cause 3,XOne,2015,Action,Square Enix,0.42,0.38,0.0,0.07,0.8700000000000001
2379,Pictionary,Wii,2010,Puzzle,THQ,0.61,0.19,0.0,0.07,0.8700000000000001
2380,Resident Evil: Revelations,3DS,2012,Action,Capcom,0.3,0.22,0.3,0.05,0.8700000000000001
2381,Buzz! Master Quiz,PSP,2008,Misc,Sony Computer Entertainment,0.2,0.44,0.0,0.23,0.87
2382,Guitar Hero: Warriors of Rock,X360,2010,Misc,Activision,0.47,0.32,0.0,0.08,0.87
2383,Derby Stallion II,SNES,1994,Sports,ASCII Entertainment,0.0,0.0,0.87,0.0,0.87
2384,Injustice: Gods Among Us,PS4,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.29,0.0,0.12,0.87
2385,Tony Hawk's Project 8,PS2,2006,Sports,Activision,0.72,0.03,0.0,0.12,0.87
2386,DiRT,X360,2007,Racing,Codemasters,0.38,0.4,0.0,0.09,0.87
2387,Conflict: Desert Storm,XB,2002,Shooter,SCi,0.48,0.37,0.0,0.02,0.87
2388,Wizards of Waverly Place,DS,2009,Misc,Disney Interactive Studios,0.59,0.2,0.0,0.08,0.87
2389,Darksiders II,PS3,2012,Action,THQ,0.35,0.37,0.01,0.14,0.87
